gen,random best,genetic best
1,2,2
2,2,3
3,2,3
4,2,3
5,2,3
6,3,4
7,2,3
8,2,3
9,2,3
10,2,3
11,2,3
12,3,3
13,2,3
14,2,3
15,3,3
16,3,3
17,2,3
18,2,3
19,2,3
20,2,4
